Teams,Name,Abbrev
Atlanta Braves,Braves,ATL
Baltimore Orioles,Orioles,BAL
Boston Red Sox,Red Sox,BOS
Chicago Cubs,Cubs,CHC
Chicago White Sox,White Sox,CWS
Cincinnati Reds,Reds,CIN
Cleveland Indians,Indians,CLE
Colorado Rockies,Rockies,COL
Detroit Tigers,Tigers,DET
Houston Astros,Astros,HOU
Kansas City Royals,Royals,KC
Los Angeles Angels,Angels,LAA
Los Angeles Dodgers,Dodgers,LAD
Miami Marlins,Marlins,MIA
Milwaukee Brewers,Brewers,MIL
Minnesota Twins,Twins,MIN
New York Mets,Mets,NYM
New York Yankees,Yankees,NYY
Oakland Athletics,Athletics,OAK
Philadelphia Phillies,Phillies,PHI
Pittsburgh Pirates,Pirates,PIT
San Diego Padres,Padres,SD
San Francisco Giants,Giants,SF
Seattle Mariners,Mariners,SEA
St. Louis Cardinals,Cardinals,STL
Tampa Bay Rays,Rays,TB
Texas Rangers,Rangers,TEX
Toronto Blue Jays,Blue Jays,TOR
Washington Nationals,Nationals,WAS
Arizona Diamondbacks,D'backs,ARI